Model,Strategy,Rolling Window,Final Cumulative Return
Uni2Ts Small,LONG_ONLY,5,7.457116086481863e-08
Uni2Ts Base,LONG_ONLY,5,7.343312182939293e-08
NN2,LONG_ONLY,5,6.1962775806568226e-12
TimeFm,LONG_ONLY,5,5.139466404342789e-13
Lasso,LONG_ONLY,5,1.1665994262781875e-13
OLS,LONG_ONLY,5,1.1582525711597473e-13
Ridge,LONG_ONLY,5,1.1582525711597473e-13
PLS,LONG_ONLY,5,1.1582525711597473e-13
PCR,LONG_ONLY,5,1.1582525711597473e-13
NN1,LONG_ONLY,5,7.511839029889963e-15
NN4,LONG_ONLY,5,2.452080914285261e-15
Chronos Base,LONG_ONLY,5,8.142336294611131e-16
Chronos Small,LONG_ONLY,5,3.038787442326172e-16
NN5,LONG_ONLY,5,2.439655401259386e-16
RF,LONG_ONLY,5,7.095048243287725e-17
NN3,LONG_ONLY,5,2.8263250342773094e-17
Uni2Ts Base,LONG_ONLY,21,1.8817961877525953e-06
Uni2Ts Small,LONG_ONLY,21,1.0390843659056583e-06
TimeFm,LONG_ONLY,21,2.0258955354285622e-11
Lasso,LONG_ONLY,21,1.4000076103728416e-13
OLS,LONG_ONLY,21,1.1832030796219523e-13
Ridge,LONG_ONLY,21,1.1832030796219523e-13
PLS,LONG_ONLY,21,1.1832030796219523e-13
Chronos Small,LONG_ONLY,21,5.878764917551969e-14
PCR,LONG_ONLY,21,1.4215231862823114e-14
Chronos Base,LONG_ONLY,21,7.449972764443394e-15
NN4,LONG_ONLY,21,5.0951451534412464e-15
NN2,LONG_ONLY,21,8.101920105051218e-16
NN5,LONG_ONLY,21,3.6637017872129083e-16
RF,LONG_ONLY,21,1.137918780437191e-16
NN1,LONG_ONLY,21,1.8297255971040724e-17
NN3,LONG_ONLY,21,2.01668997951119e-18
Uni2Ts Base,LONG_ONLY,252,4.4057151883057005e-07
Uni2Ts Small,LONG_ONLY,252,3.6496672996305286e-07
TimeFm,LONG_ONLY,252,2.89252570473217e-09
Lasso,LONG_ONLY,252,2.525142604246393e-13
OLS,LONG_ONLY,252,2.30726462565187e-13
Ridge,LONG_ONLY,252,2.30726462565187e-13
PLS,LONG_ONLY,252,2.30726462565187e-13
NN4,LONG_ONLY,252,1.475859976404479e-13
NN2,LONG_ONLY,252,7.3656291770178e-14
Chronos Small,LONG_ONLY,252,2.760168472975895e-14
NN5,LONG_ONLY,252,1.1325155405335652e-14
Chronos Base,LONG_ONLY,252,1.072409698834859e-14
PCR,LONG_ONLY,252,8.25868568602271e-15
NN3,LONG_ONLY,252,2.546037544921428e-15
RF,LONG_ONLY,252,4.559258030357826e-16
NN1,LONG_ONLY,252,4.3703528944679123e-16
Uni2Ts Base,LONG_ONLY,512,4.287160471228887e-07
Uni2Ts Small,LONG_ONLY,512,3.480657744108959e-07
TimeFm,LONG_ONLY,512,1.281559520089723e-08
NN4,LONG_ONLY,512,3.555980843266224e-12
Lasso,LONG_ONLY,512,5.43192375798614e-14
OLS,LONG_ONLY,512,5.395023730053556e-14
Ridge,LONG_ONLY,512,5.395023730053556e-14
PLS,LONG_ONLY,512,5.395023730053556e-14
